Tickers
GOOGL
CMG
GE
MMM
AMGN
GS
BDX
KMB
CLX
APD
IBM
MCD
ECL
IFF
WPP
LIN
JNJ
INGR
PEP
DIS
VMC
PPG
HSY
EL
SLG
KRYAY
PG
DE
DLR
LYB
WBA
SAP
PVH
MAC
K
MDT
OMC
LLY
NSRGY
KOF
TGT
CL
MAR
WMT
NVS
AVY
BMY
FSLR
MAXR
FCEL
CPB
NKE
GIS
WSM
SBUX
VFC
TEL
PCG
WM
BMO
ES
ADDYY
MSFT
NVO
KRC
CAKE
AGCO
CCEP
MRK
ENS
ASH
MKC
RSG
RDY
KSS
NVZMY
UL
SNPS
KO
WDC
H
SVFD
OC
FDP
MDLZ
C
GSK
SNY
PLD
GVDNY
HAIN
FUJIY
ORCL
ITRI
ORA
LRLCY
NJR
TSLA
IP
ADM
ENB
HSBC
CAG
PNR
RHHBY
EDPFY
AZN
INTC
CAJ
PFE
NEE
KBCSY
CSCO
UUGRY
CRH
CWT
GPS
FHI
NEM
GIL
XRX
PHG
WY
DPSGY
HPP
VEOEY
SONVY
STN
BNPQY
AXAHY
TAK
TRMB
HENKY
SSREY
AKZOY
AMRS
SONY
EXC
TS
ZURVY
BIP
SOMMY
JKS
SDXAY
SWDBY
SSEZY
CSIQ
YARIY
MGDDY
CMPGY
CJPRY
BDRFY
VCISY
SMTC
FRRVY
SSYS
MKKGY
AIQUY
DB
SYIEY
SPWR
IDEXY
SKHSY
UBS
JSAIY
HST
HDELY
CMC
SCHN
TU
CS
DANOY
BAK
RDSMY
GOLD
ING
AU
TSCDY
NRDBY
RDEIY
KGFHY
SLP
BYDDY
SWRAY
TREX
SEOAY
ORKLY
HCMLY
PCRFY
ACCYY
YAHOY
KPELY
KNDI
NWG
IRDM
TOSYY
FCX
NVDA
SOL
HNNMY
DKILY
SVNLY
BEEM
AMSC
SBS
CRRFY
CRARY
STKL
AEG
CX
VWDRY
GFI
ENLAY
NHYDY
GCTAY
LYG
FSM
WNDW
KGC
AUY
CBAT
PLUG
BWEN
BLDP
